seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
144	0.87500006	0.77000004	0.671	0.52725005	0.4806	0.4305	0.38742858	0.31962502	0.28522223	0.2463
145	0.86200005	0.75300002	0.66566664	0.5845	0.470599979	0.4223333	0.3862857	0.31646532	0.294673	0.2527
2	0.88600004	0.785	0.6623333	0.55550003	0.47159998	0.42816666	0.371	0.32250002	0.29266667	0.2737
