seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
2	0.878	0.81600004	0.71933335	0.60975003	0.5358	0.5301667	0.46985713	0.43075	0.38922223	0.3746
144	0.868 0.818	0.723	0.615	0.55950004	0.518	0.4806667	0.45414284	0.40275	0.37222223
145	0.86	0.75200003	0.69699997	0.61325	0.54039997	0.4953333	0.44885713	0.407375	0.382	0.3516
