seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
145	0.791	0.698	0.659	0.54375005	0.4574	0.40483332	0.32242855	0.314	0.2478889	0.24929999
2	0.845	0.74350005	0.6303333	0.53900003	0.45979998	0.39133334	0.3302857	0.30387503	0.25922224	0.2015
144	0.8090	0.7305	0.6453	0.5245	0.4704	0.4553	0.4120	0.3370	0.2414	0.2244
