seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
22	0.79200006	0.59250003	0.53966665	0.46125	0.406	0.36283332	0.31314287	0.284875	0.26711112	0.2443
13	0.84600003	0.661	0.539	0.44075003	0.4016	0.34783334	0.29957142	0.272875	0.25233333	0.23769999
2	0.87000006	0.70250005	0.59	0.4875	0.42	0.40966666	0.34842858	0.31	0.25566667	0.2482
145	0.84200007	0.68100005	0.61266667	0.51900005	0.43539998	0.36716667	0.31	0.296	0.262	0.24499999
144	0.86500007	0.69000006	0.581	0.49275002	0.426	0.38883334	0.3392857	0.308625	0.28866667	0.2538



