seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
2	0.897	0.80050004	0.718	0.6455	0.5866	0.5678333	0.50857145	0.48025003	0.43855557	0.417
145	0.85300004	0.7285	0.69266665	0.61600006	0.5542	0.52033335	0.4787143	0.44912502	0.41311112	0.4005
144	0.86	0.771	0.69166666	0.61025006	0.5548	0.5345	0.4975714	0.45987502	0.43677777	0.40699998


