seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
22	0.83000004	0.409	0.29866666	0.165	0.131	0.089	0.047142856	0.03725	0.027333334	0.0093
78	0.77800006	0.40250003	0.23	0.12725	0.092199996	0.06866667	0.015999999	0.023000002	0.018111112	0.012399999
2	0.882	0.45100003	0.287	0.21725	0.16939999	0.1555	0.117714286	0.110125005	0.087111115	0.087
145	0.85300004	0.42600003	0.315	0.22250001	0.1778	0.1445	0.120714284	0.112	0.09511111	0.0925
13	0.85600007	0.43300003	0.289	0.21725	0.1802	0.13566667	0.121	0.112	0.09844445	0.0905




