seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
145	0.85700005	0.7555	0.6903333	0.6065	0.532	0.4995	0.46057144	0.41287503	0.3858889	0.36339998
2	0.88400006	0.799	0.69766665	0.60425	0.5466	0.52016664	0.47357142	0.42962503	0.38966668	0.3884
