seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
2	0.8440	0.7685	0.6887	0.6153	0.5496	0.5313	0.4760	0.4560	0.4168	0.3917
144	0.8370	0.7565	0.6800	0.6163	0.5698	0.5383	0.5021	0.4669	0.4378	0.4115
145	0.8410	0.7540	0.7187	0.6395	0.5806	0.5313	0.4874	0.4660	0.4248	0.4075
