seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
145	0.8620	0.7445	0.6773	0.5538	0.4670	0.4327	0.3653	0.3181	0.2717	0.2564
2	0.88100004	0.79450005	0.689	0.58600004	0.47379997	0.435	0.37228572	0.34712502	0.29766667	0.2638
