seed	split_0	split_1	split_2	split_3	split_4	split_5	split_6	split_7	split_8	split_9
2	0.89300007	0.601	0.48033333	0.40375003	0.3524	0.32966667	0.29828572	0.272875	0.2588889	0.2453
144	0.86700004	0.57550005	0.452	0.3835	0.3486	0.30416667	0.28	0.256875	0.23755556	0.22379999
145	0.87200004	0.5685	0.4689	0.3758	0.34002	0.310293	0.283552	0.250382	0.233556	0.2256789
